,岗位名称,公司名称,城市,地点,薪资,基本要求,公司状况,岗位技能,公司福利
1438,高级数据分析师（游戏业务）,OPPO,深圳,[科技园],15k-30k,15k-30k 经验3-5年 / 本科,硬件 / 不需要融资 / 2000人以上,移动互联网 游戏 SQL,“大平台 给力薪酬 组织氛围好”
1439,数据分析专员,蓝色光标SNK,深圳,[科技园],8k-12k,8k-12k 经验不限 / 本科,"移动互联网,游戏 / 不需要融资 / 150-500人",广告营销 游戏 数据分析,"“4A公司,平台大,晋升快”"
1440,数据分析工程师,乐易网络,深圳,[南山区],30k-50k,30k-50k 经验5-10年 / 本科,"移动互联网,游戏 / A轮 / 150-500人",数据分析 数据库开发 数据挖掘,"“五险一金,年终奖,氛围开放,带薪旅行”"
1441,数据分析工程师,万科,深圳,[深圳湾],18k-30k,18k-30k 经验3-5年 / 本科,房产家居 / 上市公司 / 2000人以上,大数据 SQL 数据分析,"“世界五百强,地产龙头企,薪资福利佳。”"
1442,价格数据分析师,道旅旅游,深圳,[深圳湾],7k-12k,7k-12k 经验1-3年 / 本科,"电商,旅游 / 上市公司 / 150-500人",数据分析 营销管理,“五险一金 年底双薪 年度旅游 年度体检”
1443,高级数据分析师（汽车业务）,极光,深圳,[南头],18k-28k,18k-28k 经验3-5年 / 本科,企业服务 / 上市公司 / 500-2000人,汽车 教育 数据分析 数据库,"“五险一金,奖金丰厚,福利多多,定期体检”"
1444,数据分析工程师,大宇无限,深圳,[南山区],18k-28k,18k-28k 经验3-5年 / 本科,移动互联网 / C轮 / 50-150人,大数据 数据挖掘 数据分析,"“工程师文化,高期权回报”"
1445,CSIG18-高级数据分析师（深圳）,腾讯,深圳,[科技园],15k-30k,15k-30k 经验3-5年 / 本科,社交 / 上市公司 / 2000人以上,SQLServer Spark Hadoop 算法,“技术大咖”
1446,数据分析专家,BLUE,深圳,[科技园],25k-40k,25k-40k 经验5-10年 / 本科,"消费生活,移动互联网 / C轮 / 500-2000人",数据架构 数据分析 数据处理,“期权，东南亚市场，国际舞台”
1447,高级数据分析师（ AW),爱问科技,深圳,[大冲],18k-28k,18k-28k 经验5-10年 / 大专,"移动互联网,社交 / 不需要融资 / 150-500人",大数据 数据分析,“五险一金 年底双薪 带薪年假 节日福利”
1448,高级数据分析师,深圳市丰巢科技有限公司,深圳,[南山区],15k-30k,15k-30k 经验3-5年 / 本科,消费生活 / A轮 / 500-2000人,数据分析,“年终丰富，扁平管理，独角兽”
1449,数据分析专员,盛迪嘉支付,深圳,[莲花二村],8k-10k,8k-10k 经验1-3年 / 大专,"移动互联网,金融 / 不需要融资 / 500-2000人",BI 数据运营 数据分析,“福利待遇好，发展前景大”
1450,数据分析总监,深圳白骑士大数据有限公司,深圳,[科技园],38k-65k,38k-65k 经验5-10年 / 硕士,"企业服务,金融 / A轮 / 50-150人",金融 算法 数据挖掘 数据分析,"“平台好,创新型,发展迅速,股权期权”"
1451,资深数据分析师,字节跳动,深圳,[南山区],25k-50k,25k-50k 经验不限 / 本科,文娱丨内容 / C轮 / 2000人以上,数据分析,“六险一金，高薪期权，弹性工作，免费三餐”
1452,数据分析总监,深圳白骑士大数据有限公司,深圳,[科技园],38k-65k,38k-65k 经验5-10年 / 硕士,"企业服务,金融 / A轮 / 50-150人",金融 算法 数据挖掘 数据分析,"“平台好,创新型,发展迅速,股权期权”"
1453,投资并购部-数据分析员,腾讯,深圳,[南油],1k-2k,1k-2k 经验1-3年 / 本科,社交 / 上市公司 / 2000人以上,投资/融资 数据分析,“公司规模大”
1454,数据分析产品经理,极光,深圳,[南头],15k-25k,15k-25k 经验不限 / 本科,企业服务 / 上市公司 / 500-2000人,大数据 用户研究 数据,"“14薪+,弹性工作,技术氛围,工作餐”"
