,岗位名称,公司名称,城市,地点,薪资,基本要求,公司状况,岗位技能,公司福利
0,数据分析师,名片全能王,上海,[静安区],10k-20k,10k-20k 经验1-3年 / 本科,移动互联网 / D轮及以上 / 150-500人,大数据 移动互联网 Hive Hadoop Spark,“免费早晚餐、扁平化管理、免费零食供应”
1,数据分析师,奇虎360金融,上海,[张江],10k-20k,10k-20k 经验不限 / 本科,金融 / 上市公司 / 500-2000人,SQL 数据库,“发展范围广 薪资高 福利好”
2,数据分析,51JOB,上海,[浦东新区],8k-15k,8k-15k 经验1-3年 / 本科,"移动互联网,企业服务 / 上市公司 / 2000人以上",SPSS 数据运营 数据库,“五险一金 周末双休 年终福利”
3,2521BK-数据分析师,陆金所,上海,[浦东新区],13k-26k,13k-26k 经验1-3年 / 本科,金融 / B轮 / 2000人以上,大数据 金融 MySQL Oracle 算法,"“五险一金,节日福利,带薪年假”"
4,数据分析师,天天拍车,上海,[虹桥],10k-15k,10k-15k 经验1-3年 / 大专,"移动互联网,电商 / D轮及以上 / 2000人以上",数据分析 数据库,“五险一金，带薪年假，做五休二”
5,数据分析-机构资金项目,拍拍贷,上海,[浦东新区],15k-30k,15k-30k 经验3-5年 / 本科,金融 / 上市公司 / 2000人以上,分析师,“上市公司”
6,数据分析师,任拓数据科技（上海）有限公司,上海,[南京东路],8k-12k,8k-12k 经验1-3年 / 本科,"电商,数据服务 / 不需要融资 / 150-500人",电商 大数据 数据分析 SQL 数据库,“发展前景好、福利优、领导Nice”
7,数据分析师（数据银行）,上海鲲驰贸易发展有限公司,上海,[浦东新区],15k-25k,15k-25k 经验3-5年 / 本科,电商 / 未融资 / 500-2000人,电商,"“发展空间大,工作氛围好,团队大牛多”"
8,数据分析师,上海小牛互娱智能科技有限公司,上海,[张江],18k-30k,18k-30k 经验5-10年 / 本科,移动互联网 / 未融资 / 500-2000人,商业 数据分析,“年底双薪 住房补贴”
9,数据分析,趣头条,上海,[浦东新区],20k-40k,20k-40k 经验不限 / 本科,文娱丨内容 / 上市公司 / 500-2000人,专项奖金 带薪年假 弹性工作 管理规范,“数据分析”
10,数据分析师,途虎养车网,上海,[闵行区],20k-40k,20k-40k 经验不限 / 本科,汽车丨出行 / D轮及以上 / 2000人以上,BI 商业 SQL,“发展前景”
11,数据分析经理,联众金融,上海,[陆家嘴],20k-30k,20k-30k 经验5-10年 / 本科,金融 / B轮 / 500-2000人,数据分析,“薪资福利好 90后”
12,资深数据分析,还呗-智能信贷领先者,上海,[张江],25k-35k,25k-35k 经验5-10年 / 本科,金融 / B轮 / 500-2000人,目标管理 KPI考核 决策能力 战略管理,“补充公积金 大牛多 弹性不打卡”
13,高级数据分析师,宜家,上海,[田林],1k-2k,1k-2k 经验5-10年 / 本科,消费生活 / 不需要融资 / 2000人以上,数据分析 可视化 SQL,“员工餐厅 企业年金 超长年假 外企福利”
14,数据分析师(电商),联蔚数据,上海,[黄浦区],10k-20k,10k-20k 经验1-3年 / 本科,数据服务 / 不需要融资 / 150-500人,电商 企业服务 商业 数据分析,“工作氛围轻松、高大上，美女如云，大牛多。”
15,2521DF-数据分析岗,陆金所,上海,[浦东新区],13k-20k,13k-20k 经验1-3年 / 本科,金融 / B轮 / 2000人以上,大数据 金融 数据分析,"“五险一金,带薪年假,节日福利,定期体检”"
16,资深数据分析师,嗨课堂,上海,[江湾],20k-40k,20k-40k 经验5-10年 / 本科,教育 / B轮 / 2000人以上,数据分析,“高于市场的基本薪资和年终奖金；工作环境佳”
17,数据分析实习生,HARB,上海,[徐汇区],3k-4k,3k-4k 经验应届毕业生 / 本科,企业服务 / B轮 / 50-150人,新零售 大数据 商业,“外资高管团队；公司文化好；已获多轮融资”
18,E011 数据分析师,四季沐歌集团,上海,[徐家汇],20k-30k,20k-30k 经验3-5年 / 本科,其他 / 上市公司 / 500-2000人,广告营销 移动互联网 数据分析 数据挖掘,“平台大 福利优”
19,资深数据分析师,Alten China,上海,[漕宝路],20k-30k,20k-30k 经验5-10年 / 本科,硬件 / 上市公司 / 2000人以上,MySQL,“年终奖 五险一金 平台”
20,数据分析经理,阳祥实业,上海,[吴淞],20k-30k,20k-30k 经验3-5年 / 本科,"电商,其他 / 未融资 / 15-50人",大数据 企业服务,“上市公司 做五休二”
21,数据分析,汇付,上海,[虹梅路],10k-20k,10k-20k 经验3-5年 / 本科,"移动互联网,金融 / 上市公司 / 500-2000人",SQL,“上市公司 合规风控 精英团队”
22,数据分析师 (MJ000268),星环科技,上海,[田林],10k-20k,10k-20k 经验不限 / 本科,数据服务 / C轮 / 150-500人,数据分析,“六险二金 带薪年假 定期团建”
23,数据分析师（有互金经验）,信用飞/首付游,上海,[长宁区],10k-20k,10k-20k 经验3-5年 / 本科,移动互联网 / B轮 / 150-500人,金融 大数据 数据分析 数据运营 数据库,“五险一金 13薪资 带薪休假”
24,数据分析师,东方新闻,上海,[张江],10k-20k,10k-20k 经验1-3年 / 本科,"移动互联网,社交 / 不需要融资 / 150-500人",SQL 数据分析,"“发展平台,扁平化,晋升机会,福利待遇”"
25,大数据分析师,算话智能科技有限公司,上海,[中山公园],9k-18k,9k-18k 经验1-3年 / 本科,"数据服务,移动互联网 / B轮 / 50-150人",大数据 数据分析,“优秀团队、绩效奖金、福利津贴、定期体检”
26,数据分析师（数据中心）,收钱吧,上海,[普陀区],15k-25k,15k-25k 经验1-3年 / 本科,移动互联网 / C轮 / 500-2000人,数据分析 数据处理 SQLServer,“平台大，福利好，牛人多，晋升机会”
27,数据分析师(商业方向，中高级）,一面数据,上海,[黄浦区],10k-20k,10k-20k 经验1-3年 / 本科,"移动互联网,数据服务 / A轮 / 50-150人",大数据,“大数据人工智能；名校系大牛；技术氛围浓”
28,数据分析师,返利网,上海,[徐汇区],10k-20k,10k-20k 经验1-3年 / 本科,电商 / C轮 / 500-2000人,电商 数据分析,"“福利待遇好,工作环境优,六险一金”"
29,数据分析师（校招）,流利说®,上海,[杨浦区],15k-20k,15k-20k 经验应届毕业生 / 本科,教育 / 上市公司 / 2000人以上,移动互联网 教育 数据分析,“上市公司、年底双薪、完善培训、宽松氛围”
30,2521DO-数据分析岗,陆金所,上海,[浦东新区],13k-26k,13k-26k 经验3-5年 / 本科,金融 / B轮 / 2000人以上,大数据 机器学习 数据挖掘,"“五险一金,绩效奖金,高温补贴,带薪年假”"
31,数据分析师（上海）,CraiditX,上海,[徐汇区],15k-25k,15k-25k 经验1-3年 / 本科,"金融,数据服务 / B轮 / 50-150人",大数据 金融 数据分析 数据处理 算法,“精英团队，弹性工作，超长年假，福利优厚”
32,数据分析师,晶赞科技Zamplus,上海,[闸北区],10k-20k,10k-20k 经验3-5年 / 硕士,"数据服务,文娱丨内容 / D轮及以上 / 150-500人",数据分析,“弹性工作、绩效奖金、出国旅游、扁平化管理”
33,数据分析师,Target Social,上海,[徐家汇],10k-20k,10k-20k 经验3-5年 / 本科,"移动互联网,数据服务 / B轮 / 50-150人",广告营销 企业服务 商业 数据分析 DBA,“发展空间大，项目多，福利丰富”
34,数据分析师,莉莉丝游戏,上海,[闵行区],12k-24k,12k-24k 经验1-3年 / 本科,"移动互联网,游戏 / 不需要融资 / 150-500人",游戏,"“弹性工作,福利待遇好,工作氛围好”"
35,数据分析师,即刻,上海,[五角场],12k-20k,12k-20k 经验1-3年 / 本科,移动互联网 / C轮 / 50-150人,数据分析 SQL,“出国outing 办公环境优秀 同事优秀”
36,数据分析师,独立日,上海,[杨浦区],15k-30k,15k-30k 经验5-10年 / 不限,移动互联网 / B轮 / 50-150人,社交 大数据 BI 数据库 增长黑客 数据分析,“团队氛围好，弹性上班，餐补”
37,数据分析师,PINTEC,上海,[八佰伴],8k-15k,8k-15k 经验1-3年 / 本科,"移动互联网,金融 / 上市公司 / 150-500人",互联网金融 SQL 数据分析,"“六险一金,带薪休假,弹性工作,扁平管理”"
38,数据分析师,HARB,上海,[田林],10k-20k,10k-20k 经验1-3年 / 本科,企业服务 / B轮 / 50-150人,电商 金融 数据挖掘 数据分析,"“发展空间大,弹性工作,福利好,管理扁平”"
39,数据分析师,安我,上海,[曹路],10k-20k,10k-20k 经验1-3年 / 本科,医疗丨健康 / A轮 / 50-150人,医疗健康,“五险一金、绩效奖金、节日福利、户外活动”
40,数据分析师,DataStory,上海,[长阳路],10k-20k,10k-20k 经验1-3年 / 本科,数据服务 / B轮 / 150-500人,数据分析 SPSS,“五险一金 周末双休 扁平管理”
41,数据分析师,苹果树,上海,[徐汇区],15k-30k,15k-30k 经验不限 / 本科,"金融,数据服务 / A轮 / 150-500人",金融 SQL 数据库,“老板nice，发展空间大，五险一金”
42,数据分析师,小回音,上海,[凉城],10k-20k,10k-20k 经验3-5年 / 不限,"移动互联网,社交 / 未融资 / 15-50人",社交 数据分析,"“弹性工作,节日福利,五险一金,免费晚餐”"
43,数据分析师,算话智能科技有限公司,上海,[长宁区],12k-16k,12k-16k 经验1-3年 / 本科,"数据服务,移动互联网 / B轮 / 50-150人",大数据 移动互联网 SQL 数据分析,"“绩效奖金,福利津贴,交通补贴,假日福利”"
44,数据分析师,噗嗤游戏,上海,[漕河泾],15k-30k,15k-30k 经验不限 / 大专,"游戏,社交 / 不需要融资 / 15-50人",游戏 SQL SPSS 数据分析,“六险一金 氛围好 发展快 项目奖金”
45,数据分析师,萨摩耶金服,上海,[浦东新区],10k-20k,10k-20k 经验1-3年 / 本科,金融 / C轮 / 150-500人,互联网金融 数据分析,"“精英团队,弹性工作,工作氛围好”"
46,数据分析师,联元智能科技,上海,[曹杨],15k-30k,15k-30k 经验3-5年 / 本科,"移动互联网,数据服务 / A轮 / 50-150人",BI 商业 数据分析,“五险一金 绩效奖金 弹性工作 补充公积金”
47,数据分析师-杭州/上海-01685,同盾科技,上海,[斜土路],10k-20k,10k-20k 经验1-3年 / 不限,"信息安全,数据服务 / C轮 / 500-2000人",信贷风险管理 风控 风险分析,“六险一金、双休、节日福利、旅游、免费零食”
48,数据分析师（数据运营）,驰骛科技ChiefClouds,上海,[徐汇区],10k-20k,10k-20k 经验3-5年 / 本科,"数据服务,移动互联网 / A轮 / 50-150人",数据分析 数据运营 数据库,“五险一金补充商保免费零食免费晚餐年度体检”
49,数据分析(上海）,达达-京东到家,上海,[浦东新区],15k-30k,15k-30k 经验3-5年 / 本科,消费生活 / D轮及以上 / 2000人以上,新零售 物流 数据分析,“带薪年假”
50,数据分析师（数据BP）(J11909),2345.com,上海,[浦东新区],12k-20k,12k-20k 经验3-5年 / 本科,"数据服务,移动互联网 / 上市公司 / 500-2000人",电商 移动互联网 数据分析,"“上市公司,发展空间大,业务平稳”"
51,数据分析师,美至科技,上海,[城隍庙],15k-20k,15k-20k 经验1-3年 / 本科,"移动互联网,消费生活 / A轮 / 50-150人",大数据 数据挖掘 数据分析,"“团队氛围好,挑战与学习,办公环境好”"
52,（民航）数据分析师,飞常准,上海,[浦东新区],10k-20k,10k-20k 经验3-5年 / 硕士,移动互联网 / 不需要融资 / 500-2000人,大数据 可视化 SPSS 数据分析,"“六险一金,周末双休,年终奖金,境外旅游”"
53,数据分析师,乐房生活,上海,[虹口区],15k-20k,15k-20k 经验3-5年 / 本科,移动互联网 / D轮及以上 / 50-150人,电商 本地生活 数据分析 数据库 数据运营 可视化,“F轮融资数亿元；16薪制”
54,数据分析师（小回音APP）,虎扑,上海,[江湾],10k-20k,10k-20k 经验3-5年 / 本科,"移动互联网,文娱丨内容 / D轮及以上 / 150-500人",社交 移动互联网,"“弹性工作,节日福利,五险一金,免费晚餐”"
55,数据分析,上海你我贷互联网金融信息服务,上海,[浦东新区],15k-25k,15k-25k 经验1-3年 / 本科,金融 / 上市公司 / 500-2000人,年底双薪 节日礼物 技能培训 绩效奖金,“纳斯达克上市公司 职位上升空间大”
56,数据分析师,字节跳动,上海,[徐汇区],15k-30k,15k-30k 经验1-3年 / 本科,文娱丨内容 / C轮 / 2000人以上,数据分析,“六险一金，弹性工作，免费三餐，餐补”
57,数据分析师(KOL方向),长投学堂,上海,[浦东新区],10k-20k,10k-20k 经验不限 / 硕士,移动互联网 / A轮 / 150-500人,数据分析,“五险一金 年终奖 周末双休 朝九晚六”
58,数据分析师-上海,神策数据,上海,[静安区],15k-30k,15k-30k 经验不限 / 本科,数据服务 / C轮 / 150-500人,大数据 商业 BI 可视化 数据分析,"“五险一金,午餐补助,补充医疗,14薪”"
59,数据分析师,TapTap,上海,[闸北区],15k-25k,15k-25k 经验1-3年 / 本科,"游戏,社交 / B轮 / 50-150人",数据库 数据分析 SQL,“迅速成长”
60,数据分析师（中高级）,达达-京东到家,上海,[东外滩],15k-25k,15k-25k 经验3-5年 / 本科,消费生活 / D轮及以上 / 2000人以上,大数据 数据分析 SPSS,“风口发展平台，与硅谷大牛共事，极客文化”
61,数据分析师,艾天科技,上海,[浦东新区],10k-20k,10k-20k 经验3-5年 / 不限,"企业服务,数据服务 / 不需要融资 / 15-50人",云计算 大数据 数据分析,"“平台好,环境好,氛围好,机会多”"
62,数据分析工程师,圆通,上海,[青浦区],12k-20k,12k-20k 经验1-3年 / 本科,物流丨运输 / 上市公司 / 2000人以上,BI 数据分析 SQL,“大平台，福利佳，上市公司”
63,数据分析师,沪江,上海,[张江],15k-30k,15k-30k 经验3-5年 / 本科,教育 / D轮及以上 / 500-2000人,数据分析 MySQL,“发展空间大，工作氛围好”
64,数据分析师,Hypers,上海,[四平路],8k-16k,8k-16k 经验1-3年 / 本科,移动互联网 / 上市公司 / 50-150人,数据分析,"“六险一金,定期体检,员工旅游,地铁周边”"
65,数据分析师,爱回收,上海,[五角场],15k-30k,15k-30k 经验3-5年 / 本科,"电商,消费生活 / D轮及以上 / 2000人以上",运营 数据分析,“公司发展前景广阔，工作氛围好”
66,数据分析师（风险分析）,维信金融科技集团,上海,[虹口区],13k-18k,13k-18k 经验1-3年 / 本科,金融 / 上市公司 / 2000人以上,数据挖掘,"“团队优秀,发展平台好”"
67,数据分析师,还呗-智能信贷领先者,上海,[张江],15k-30k,15k-30k 经验3-5年 / 本科,金融 / B轮 / 500-2000人,数据分析 BI,"“移动金融,未来金矿,精英团队,助力成长”"
68,数据分析师,信用算力,上海,[五角场],15k-30k,15k-30k 经验1-3年 / 本科,"移动互联网,金融 / B轮 / 150-500人",风控,“晋升快，福利好，美女多”
69,数据分析师,盛付通,上海,[浦东新区],10k-20k,10k-20k 经验3-5年 / 本科,"移动互联网,金融 / 不需要融资 / 150-500人",数据分析,"“工作氛围好,福利待遇好,弹性工作”"
70,数据分析专员 (MJ000466),商米,上海,[复旦大学],10k-20k,10k-20k 经验不限 / 不限,消费生活 / D轮及以上 / 500-2000人,移动互联网 数据分析,“发展好待遇佳”
71,初中级数据分析,趣头条,上海,[张江],12k-22k,12k-22k 经验1-3年 / 本科,文娱丨内容 / 上市公司 / 500-2000人,电商 MySQL,“上升空间大，弹性工作，技术驱动”
72,数据分析师,驰骛科技ChiefClouds,上海,[虹梅路],15k-30k,15k-30k 经验3-5年 / 本科,"数据服务,移动互联网 / A轮 / 50-150人",新零售 电商 BI SQL 数据分析 数据库,“年度体检免费晚餐补充商保10天带薪年假”
73,数据分析师,小红书,上海,[新天地],10k-20k,10k-20k 经验1-3年 / 本科,消费生活 / D轮及以上 / 500-2000人,电商 BI 数据分析 数据运营 SQL,“年底多薪 福利超好 成长超快”
74,数据分析,舟恩信息,上海,[斜土路],15k-20k,15k-20k 经验3-5年 / 大专,移动互联网 / 不需要融资 / 150-500人,SQL 数据库 数据运营 SPSS,“互联网金融”
75,数据分析师,仁辉科技,上海,[张江],13k-20k,13k-20k 经验3-5年 / 本科,金融 / 不需要融资 / 50-150人,大数据 征信 数据分析 SPSS,"“上市背景,发展潜力大,薪酬福利佳,领导好”"
76,数据分析师,掌门1对1在线教育,上海,[四平路],12k-23k,12k-23k 经验3-5年 / 本科,"移动互联网,教育 / D轮及以上 / 2000人以上",广告营销 数据分析 数字营销,“14薪 员工旅游 定期体检 五险一金”
77,数据分析,艾大,上海,[宝山区],13k-20k,13k-20k 经验1-3年 / 本科,"企业服务,数据服务 / 未融资 / 15-50人",金融 大数据 BI 可视化 数据库,“行业前景好，福利待遇好，晋升空间大，”
78,数据分析,微盟,上海,[吴淞],10k-15k,10k-15k 经验1-3年 / 本科,企业服务 / 上市公司 / 2000人以上,电商 企业服务 可视化 SQL 数据运营,“上市公司 成长空间大”
79,数据分析师,蜻蜓FM,上海,[东方路],15k-25k,15k-25k 经验3-5年 / 本科,移动互联网 / D轮及以上 / 150-500人,大数据 金融 商业 数据分析,“弹性工作，年轻化团队，行业领先平台”
80,数据分析师,ZRobot,上海,[人民广场],15k-30k,15k-30k 经验3-5年 / 本科,"数据服务,企业服务 / 未融资 / 50-150人",大数据 互联网金融 数据分析,"“五险一金,补充医疗,节日福利,带薪年假”"
81,数据分析师,GeexFinance,上海,[杨浦区],10k-15k,10k-15k 经验1-3年 / 本科,金融 / A轮 / 150-500人,大数据 BI 数据分析,"“大牛云集,团建,五险一金”"
82,0222P3-数据分析师,平安人寿,上海,[浦东新区],15k-30k,15k-30k 经验1-3年 / 本科,金融 / 上市公司 / 2000人以上,电商 大数据 数据分析 SQL,"“五险一金,带薪年假,定期体检,免费班车”"
83,数据分析师,字节跳动,上海,[徐汇区],8k-15k,8k-15k 经验3-5年 / 本科,文娱丨内容 / C轮 / 2000人以上,数据分析,“六险一金，餐补，租房补贴，带薪休假”
84,数据分析工程师,寻找母星,上海,[田林],11k-18k,11k-18k 经验1-3年 / 本科,"移动互联网,消费生活 / A轮 / 50-150人",移动互联网 本地生活 BI 数据分析 SQL 数据库,"“大牛云集,薪资丰厚,团队优秀,晋升空间大”"
85,数据分析师,番糖游戏,上海,[徐家汇],8k-16k,8k-16k 经验1-3年 / 本科,游戏 / 未融资 / 50-150人,内容,"“年底双薪,员工旅游,员工体检,餐补车补”"
86,数据分析师（风控建模方向-上海）,中诚信征信,上海,[黄浦区],15k-30k,15k-30k 经验1-3年 / 硕士,"数据服务,人工智能 / 不需要融资 / 150-500人",Java 数据分析,"“行业领导者,弹性工作制,周五7小时,扁平化管理”"
87,数据分析师,百融云创,上海,[梅园],15k-30k,15k-30k 经验3-5年 / 本科,金融 / C轮 / 500-2000人,数据分析,"“年底双薪,绩效奖金,补充医疗”"
88,数据分析专家,饿了么,上海,[普陀区],16k-32k,16k-32k 经验5-10年 / 本科,消费生活 / D轮及以上 / 2000人以上,本地生活 新零售 数据分析 数据运营 BI SQL,“发展前景”
89,数据分析师（空间数据分析）,脉策数据,上海,[五角场],10k-20k,10k-20k 经验不限 / 硕士,"数据服务,企业服务 / A轮 / 50-150人",大数据 移动互联网 数据分析,"“弹性工作,薪酬福利好,技术驱动,大牛互助”"
90,0222U8-数据分析岗,平安人寿,上海,[浦东新区],15k-30k,15k-30k 经验1-3年 / 本科,金融 / 上市公司 / 2000人以上,数据分析 数据运营 SQL SPSS,"“五险一金,带薪年假,定期体检,免费班车”"
91,数据分析师,携程,上海,[北新泾],15k-25k,15k-25k 经验1-3年 / 本科,旅游 / 上市公司 / 2000人以上,旅游 大数据 ETL Hive 数据分析 数据处理,“技术大牛群集，年度旅游，晋升机会”
92,数据分析员（校招）,流利说®,上海,[杨浦区],6k-7k,6k-7k 经验应届毕业生 / 本科,教育 / 上市公司 / 2000人以上,移动互联网 教育 数据分析 数据运营,“上市公司、年底双薪、完善培训、宽松氛围”
93,数据分析师,浦发信用卡,上海,[塘桥],15k-25k,15k-25k 经验1-3年 / 本科,金融 / 上市公司 / 2000人以上,Spark,“绩效工资”
94,数据分析,Know Yourself,上海,[天山路],8k-15k,8k-15k 经验1-3年 / 本科,"教育,社交 / A轮 / 50-150人",大数据,"“五险一金,扁平化管理,弹性工作,交通便利”"
95,数据分析师 (MJ001038),挖财,上海,[洋泾],15k-25k,15k-25k 经验1-3年 / 不限,工具 / D轮及以上 / 500-2000人,数据分析,“带薪年假，员工旅游，五险一金，扁平管理”
96,数据分析师,永辉云创科技有限公司,上海,[虹梅路],19k-28k,19k-28k 经验3-5年 / 本科,"电商,消费生活 / D轮及以上 / 2000人以上",新零售,“待遇优、空间大、平台好”
97,数据分析师,轻轻家教,上海,[徐汇区],15k-25k,15k-25k 经验1-3年 / 本科,"移动互联网,教育 / D轮及以上 / 2000人以上",教育 移动互联网 数据分析 数据运营 SQL,“D轮融资、技术大牛、教育行业”
98,数据分析师,一条视频,上海,[虹梅路],15k-20k,15k-20k 经验1-3年 / 本科,电商 / C轮 / 150-500人,电商 新零售,“晋升空间大 新零售”
99,数据分析工程师,GeexFinance,上海,[杨浦区],10k-20k,10k-20k 经验3-5年 / 大专,金融 / A轮 / 150-500人,数据分析,“晋升空间”
100,数据分析师/助理数据分析师,唯品会,上海,[闵行区],12k-20k,12k-20k 经验1-3年 / 本科,电商 / 上市公司 / 2000人以上,数据挖掘 数据分析 Hive,“核心部门 技术氛围强 团队和谐”
101,数据分析师,途虎养车网,上海,[南方商城],15k-20k,15k-20k 经验1-3年 / 本科,汽车丨出行 / D轮及以上 / 2000人以上,BI 可视化 数据分析 SQL,“扁平化管理，大牛带教”
102,数据分析师,R2.ai,上海,[杨浦区],11k-16k,11k-16k 经验1-3年 / 本科,人工智能 / A轮 / 50-150人,大数据 其他 ETL DB2 数据分析,“AI 美国公司”
103,算法工程师/数据分析师,派拉软件,上海,[浦东新区],15k-30k,15k-30k 经验3-5年 / 硕士,数据服务 / 上市公司 / 150-500人,信息安全 机器学习 建模 算法,“晋升空间大+扁平化管理”
104,数据分析师,拼多多,上海,[长宁区],15k-30k,15k-30k 经验不限 / 本科,"电商,移动互联网 / 上市公司 / 2000人以上",大数据 数据分析 Hive,“GMV2600亿，活跃用户3亿”
105,资深数据分析师,GeexFinance,上海,[杨浦区],10k-20k,10k-20k 经验3-5年 / 本科,金融 / A轮 / 150-500人,风控,"“精英团队,优渥薪资,高速发展,大数据分析”"
106,数据分析师,途虎养车网,上海,[南方商城],15k-30k,15k-30k 经验3-5年 / 大专,汽车丨出行 / D轮及以上 / 2000人以上,数据分析,"“多次调薪,优秀团队”"
107,大数据分析师,游卡桌游,上海,[浦东新区],15k-25k,15k-25k 经验3-5年 / 本科,"游戏,移动互联网 / 不需要融资 / 500-2000人",游戏 大数据 MySQL Hadoop Spark 数据分析,"“平台好,公司福利好,领导亲切,发展空间大”"
108,数据分析师,信用生活,上海,[豫园],20k-40k,20k-40k 经验3-5年 / 本科,"移动互联网,金融 / A轮 / 50-150人",银行 借贷 数据分析 SQL,“行业领先的薪酬、顶尖专家培养”
109,数据分析师（电商策略方向）,南极电商,上海,[人民广场],15k-30k,15k-30k 经验3-5年 / 本科,"电商,移动互联网 / 上市公司 / 150-500人",电商,“上市公司、知名品牌、发展前景大”
110,数据分析师,东方新闻,上海,[张江],6k-10k,6k-10k 经验1-3年 / 本科,"移动互联网,社交 / 不需要融资 / 150-500人",商业 SQL,"“发展平台,扁平化,晋升机会,福利待遇”"
111,数据分析师,爱回收,上海,[五角场],15k-25k,15k-25k 经验3-5年 / 本科,"电商,消费生活 / D轮及以上 / 2000人以上",MySQL 数据挖掘 数据分析,“扁平化管理 独角兽 90后管理层”
112,资深数据分析师,上海只二网络科技有限公司,上海,[浦东新区],15k-30k,15k-30k 经验3-5年 / 大专,"移动互联网,电商 / B轮 / 50-150人",数据分析,“出国游 餐补房补 领导nice”
113,数据分析师（风控）,淘集集,上海,[静安区],20k-40k,20k-40k 经验5-10年 / 本科,电商 / B轮 / 500-2000人,电商 数据挖掘 数据分析 数据处理 MySQL,"“扁平化管理,平台大,奖金多,15薪”"
114,数据分析师,宏信金服,上海,[浦东新区],15k-25k,15k-25k 经验1-3年 / 本科,金融 / 不需要融资 / 50-150人,互联网金融 风控 分析师 信用产品,“数据分析、业务策略分析”
115,数据分析师,关爱通,上海,[徐汇区],13k-25k,13k-25k 经验3-5年 / 本科,"电商,企业服务 / 未融资 / 150-500人",数据分析,“福利好 假期多”
116,数据分析师,上海你我贷互联网金融信息服务,上海,[东方路],20k-30k,20k-30k 经验3-5年 / 本科,金融 / 上市公司 / 500-2000人,数据分析 SQL,“弹性工作制 奖金丰厚 领导NICE”
117,数据分析工程师,招商银行—出行易,上海,[浦东新区],15k-25k,15k-25k 经验3-5年 / 本科,电商 / 不需要融资 / 150-500人,旅游 移动互联网 数据分析,“带薪年假，节日补贴，高低温补，”
118,数据分析师,众安保险,上海,[外滩],20k-35k,20k-35k 经验3-5年 / 本科,金融 / 上市公司 / 2000人以上,数据库 数据分析 SQL,“行业前景好 发展空间大”
119,数据分析,麦子金服,上海,[浦东新区],15k-25k,15k-25k 经验3-5年 / 本科,金融 / A轮 / 500-2000人,数据运营,"“交通便利,领导好,水果提供,餐补”"
120,数据分析师,GeexFinance,上海,[杨浦区],15k-25k,15k-25k 经验3-5年 / 本科,金融 / A轮 / 150-500人,金融 商业 BI 可视化 数据分析,“高速发展 精英团队 大牛带路”
121,数据分析师 (MJ003207),哈啰出行,上海,[闵行区],15k-25k,15k-25k 经验不限 / 不限,"移动互联网,硬件 / D轮及以上 / 2000人以上",SPSS SQL 数据库 数据分析,“互联网公司 弹性工作 领导好”
122,数据分析师-SH,彪洋科技,上海,[中山公园],8k-15k,8k-15k 经验1-3年 / 本科,移动互联网 / 不需要融资 / 150-500人,数据分析 SPSS,"“数据库,数据支持,SQL语句,数据洞察力”"
123,数据分析师,久谦咨询,上海,[徐家汇],9k-18k,9k-18k 经验不限 / 本科,"企业服务,数据服务 / 未融资 / 50-150人",数据分析,"“薪资高,待遇高,发展平台好”"
124,数据分析主管,上海百秋,上海,[长宁区],10k-15k,10k-15k 经验3-5年 / 本科,"电商,企业服务 / 未融资 / 500-2000人",数据分析,“福利待遇佳、公司前景好”
125,数据分析经理（金融科技）,交银企服,上海,[天山路],15k-30k,15k-30k 经验5-10年 / 本科,"移动互联网,金融 / 上市公司 / 2000人以上",银行 MySQL 数据分析,“银行，国企”
126,贷后数据分析,奇虎360金融,上海,[张江],12k-20k,12k-20k 经验1-3年 / 本科,金融 / 上市公司 / 500-2000人,风控 信贷风险管理,“工作氛围好”
127,数据分析师（金融科技领域）,中移上研院,上海,[金桥],15k-30k,15k-30k 经验3-5年 / 本科,"人工智能,物联网 / 不需要融资 / 150-500人",金融 通信/网络设备 Hive 数据分析,“福利待遇完善”
128,数据分析工程师,名片全能王,上海,[静安区],10k-15k,10k-15k 经验1-3年 / 本科,移动互联网 / D轮及以上 / 150-500人,大数据 移动互联网,“五险一金 扁平化管理”
129,数据分析师,眸事网,上海,[杨浦区],8k-12k,8k-12k 经验3-5年 / 本科,"移动互联网,企业服务 / 天使轮 / 150-500人",大数据 数据分析 SQL,"“行业先锋,数据驱动,项目奖金,活力年轻”"
130,数据分析师,籁恩电商,上海,[外滩],6k-10k,6k-10k 经验1-3年 / 本科,电商 / 未融资 / 15-50人,电商 移动互联网 数据分析 SQL,“周末双休 和谐气氛 五险一金”
131,数据分析师（极融） (MJ000671),上海你我贷互联网金融信息服务,上海,[东方路],15k-20k,15k-20k 经验1年以下 / 本科,金融 / 上市公司 / 500-2000人,BI 数据分析 数据运营,“弹性工作 丰厚年底奖金”
132,数据分析师,CLPS,上海,[张江],15k-22k,15k-22k 经验1-3年 / 硕士,"数据服务,金融 / 未融资 / 500-2000人",电商 移动互联网 数据分析,"“待遇高,环境好,有前景”"
133,数据分析,上海艺馨信息科技有限公司,上海,[五里桥],10k-15k,10k-15k 经验不限 / 本科,"社交,企业服务 / 未融资 / 少于15人",企业服务 大数据 数据运营 可视化 数据库,“五险一金、双休、媒体关注度高”
134,数据分析师,Soul App,上海,[浦东新区],20k-40k,20k-40k 经验3-5年 / 本科,"社交,文娱丨内容 / C轮 / 150-500人",数据分析,"“高薪资,平台好,潜力大,氛围浓”"
